region_id,region_name,slots_total,tags,cooling_potential,solar_potential,wind_onshore_potential,wind_offshore_potential,hydro_potential,nuclear_potential,grid_potential,research_potential,population_units_2025,base_energy_demand,starting_energy_generation,starting_energy_balance,starting_cooling_capacity,starting_compute,starting_researchers,starting_co2_pressure_per_month,starting_slots_used,notes
fr_nord,France Nord,28,urbain;fleuve;littoral,4,2,3,4,2,5,5,5,3.14,7.9,10.8,2.9,17,0.8,7.1,0.8,0,v0.5 playable placeholder; rebalance after tests
fr_sud,France Sud,30,sud;fleuve;littoral,3,5,3,3,3,5,4,4,3.52,6.6,9.4,2.8,14,0.3,6.3,0.6,0,v0.5 playable placeholder; rebalance after tests
de_west,Allemagne Ouest,26,urbain;fleuve;industriel,3,2,3,1,2,2,5,5,3.81,8.7,9.9,1.2,11,1.1,8.6,2.5,0,v0.5 playable placeholder; rebalance after tests
de_east,Allemagne Est,24,plaine;industriel,2,3,4,1,1,2,4,4,1.9,5.8,6.0,0.2,6,0.0,3.4,2.8,0,v0.5 playable placeholder; rebalance after tests
benelux,Benelux,18,urbain;littoral;dense,3,2,3,5,1,2,5,5,2.86,7.5,8.4,0.9,12,0.9,6.4,1.8,0,v0.5 playable placeholder; rebalance after tests
dk,Danemark,16,littoral;mer_du_nord,5,2,4,5,1,1,4,3,0.57,2.9,2.9,0.0,18,0.0,0.8,0.7,0,v0.5 playable placeholder; rebalance after tests
se_south,Suède Sud,22,littoral;urbain;hydro,5,1,3,4,4,4,3,4,0.76,3.8,5.0,1.2,20,0.5,1.4,0.2,0,v0.5 playable placeholder; rebalance after tests
se_north,Suède Nord,24,froid;hydro;peu_dense,5,1,3,2,5,3,2,2,0.19,1.3,1.6,0.3,21,0.0,0.2,0.1,0,v0.5 playable placeholder; rebalance after tests
fi,Finlande,24,froid;littoral;foret,5,1,3,3,4,4,2,4,0.57,1.8,2.2,0.4,22,0.3,1.0,0.3,0,v0.5 playable placeholder; rebalance after tests
ie,Irlande,16,littoral;atlantique,5,1,5,5,1,1,2,4,0.52,1.8,1.6,-0.2,18,0.7,0.9,0.7,0,v0.5 playable placeholder; rebalance after tests
es_north,Espagne Nord,24,littoral;montagne,4,3,4,3,4,3,3,3,2.1,4.3,5.6,1.3,15,0.2,2.8,0.8,0,v0.5 playable placeholder; rebalance after tests
es_south,Espagne Sud,30,sud;solaire;sec,2,5,3,2,1,2,3,3,2.48,4.8,4.8,0.0,6,0.0,3.3,1.1,0,v0.5 playable placeholder; rebalance after tests
pt,Portugal,18,littoral;atlantique;hydro,4,4,4,4,3,1,2,3,1.05,2.4,2.5,0.1,17,0.0,1.4,0.4,0,v0.5 playable placeholder; rebalance after tests
it_north,Italie Nord,22,urbain;montagne;industriel,3,3,2,1,4,1,4,4,2.86,7.0,8.2,1.2,9,0.3,5.1,1.4,0,v0.5 playable placeholder; rebalance after tests
it_south_islands,Italie Sud & îles,26,sud;littoral;solaire,3,5,2,3,1,1,2,3,2.76,4.5,3.9,-0.6,12,0.0,3.7,1.5,0,v0.5 playable placeholder; rebalance after tests
at,Autriche,16,montagne;hydro;central,4,2,2,0,5,1,5,4,0.86,3.8,4.9,1.1,14,0.0,1.5,0.2,0,v0.5 playable placeholder; rebalance after tests
pl,Pologne,28,plaine;industriel;charbon,2,2,4,2,1,3,4,3,3.62,7.9,8.6,0.7,6,0.0,4.9,4.0,0,v0.5 playable placeholder; rebalance after tests
cz,Tchéquie,16,central;industriel,2,2,2,0,1,4,5,4,1.05,5.3,6.1,0.8,6,0.0,1.9,1.4,0,v0.5 playable placeholder; rebalance after tests
sk,Slovaquie,14,central;montagne,3,2,2,0,3,4,4,3,0.52,2.9,3.6,0.7,9,0.0,0.7,0.5,0,v0.5 playable placeholder; rebalance after tests
hu,Hongrie,16,plaine;fleuve,3,3,2,0,2,4,4,3,0.9,3.3,3.9,0.6,11,0.0,1.2,0.7,0,v0.5 playable placeholder; rebalance after tests
ro,Roumanie,24,fleuve;mer_noire;montagne,3,3,4,2,4,3,3,3,1.81,3.9,5.0,1.1,14,0.0,2.4,1.2,0,v0.5 playable placeholder; rebalance after tests
bg,Bulgarie,18,mer_noire;montagne,3,4,3,2,3,4,3,2,0.62,2.4,3.0,0.6,12,0.0,0.6,1.1,0,v0.5 playable placeholder; rebalance after tests
gr,Grèce,20,sud;littoral;iles,4,5,4,3,2,1,2,3,1.0,2.4,2.4,0.0,15,0.0,1.4,1.3,0,v0.5 playable placeholder; rebalance after tests
eu_north_balkans,Balkans Nord UE,20,montagne;hydro,3,3,3,2,4,2,3,2,0.95,2.8,3.4,0.6,11,0.0,0.9,0.8,0,v0.5 playable placeholder; rebalance after tests
baltic_north,Baltique Nord,18,littoral;froid,5,1,4,4,1,2,2,3,0.29,1.5,1.4,-0.1,22,0.0,0.4,0.4,0,v0.5 playable placeholder; rebalance after tests
baltic_south,Baltique Sud,18,littoral;plaine,4,2,4,4,1,2,3,3,0.29,2.0,2.0,0.0,15,0.0,0.4,0.7,0,v0.5 playable placeholder; rebalance after tests
si_hr,Slovénie-Croatie,18,littoral;montagne;hydro,4,3,3,3,4,3,3,3,0.57,2.4,3.1,0.7,17,0.0,0.8,0.4,0,v0.5 playable placeholder; rebalance after tests
lux_saarlorlux,Luxembourg & SaarLorLux,10,dense;urbain;central,2,2,2,0,1,2,5,4,0.38,4.4,4.5,0.1,6,0.0,0.7,0.5,0,v0.5 playable placeholder; rebalance after tests
med_islands,Méditerranée insulaire,14,iles;solaire;littoral,4,5,3,3,1,1,1,2,0.67,1.4,1.2,-0.2,15,0.0,0.6,0.6,0,v0.5 playable placeholder; rebalance after tests
de_north,Allemagne Nord,24,littoral;industriel;mer_du_nord,4,2,4,5,1,1,5,4,2.38,6.9,7.4,0.5,15,0.9,4.3,2.0,0,v0.5 playable placeholder; rebalance after tests
